"Commit","CommitHash","Date","Author","Subject","Area","File","Added","Deleted"
"a5a733b","a5a733b39397b250cc96d86106dd5f4a5d9b5b87","2026-06-18","satyrogle","untracked files on chore/claude-mcp-fmod-comfy-skill-pack: 19cfc0c feat(audio): add DESK42_FMOD-gated DistortionAudioDirector","mcp","mcp/ia-writer-mcp/README.md","73","0"
"a5a733b","a5a733b39397b250cc96d86106dd5f4a5d9b5b87","2026-06-18","satyrogle","untracked files on chore/claude-mcp-fmod-comfy-skill-pack: 19cfc0c feat(audio): add DESK42_FMOD-gated DistortionAudioDirector","mcp","mcp/ia-writer-mcp/mcp-config.example.json","14","0"
"a5a733b","a5a733b39397b250cc96d86106dd5f4a5d9b5b87","2026-06-18","satyrogle","untracked files on chore/claude-mcp-fmod-comfy-skill-pack: 19cfc0c feat(audio): add DESK42_FMOD-gated DistortionAudioDirector","mcp","mcp/ia-writer-mcp/package.json","14","0"
"a5a733b","a5a733b39397b250cc96d86106dd5f4a5d9b5b87","2026-06-18","satyrogle","untracked files on chore/claude-mcp-fmod-comfy-skill-pack: 19cfc0c feat(audio): add DESK42_FMOD-gated DistortionAudioDirector","mcp","mcp/ia-writer-mcp/server.js","621","0"
"a5a733b","a5a733b39397b250cc96d86106dd5f4a5d9b5b87","2026-06-18","satyrogle","untracked files on chore/claude-mcp-fmod-comfy-skill-pack: 19cfc0c feat(audio): add DESK42_FMOD-gated DistortionAudioDirector","tools","tools/New-RepoActivityEvidence.ps1","327","0"
"a5a733b","a5a733b39397b250cc96d86106dd5f4a5d9b5b87","2026-06-18","satyrogle","untracked files on chore/claude-mcp-fmod-comfy-skill-pack: 19cfc0c feat(audio): add DESK42_FMOD-gated DistortionAudioDirector","tools","tools/Publish-MediumApprovedDrafts.ps1","218","0"
"19cfc0c","19cfc0cc1280444b32965c56e69646dfba9ce554","2026-06-13","satyrogle","feat(audio): add DESK42_FMOD-gated DistortionAudioDirector",".claude",".claude/skills/desk-42/build-state.md","1","1"
"19cfc0c","19cfc0cc1280444b32965c56e69646dfba9ce554","2026-06-13","satyrogle","feat(audio): add DESK42_FMOD-gated DistortionAudioDirector",".claude",".claude/skills/desk-42/fmod-integration.md","10","4"
"19cfc0c","19cfc0cc1280444b32965c56e69646dfba9ce554","2026-06-13","satyrogle","feat(audio): add DESK42_FMOD-gated DistortionAudioDirector","Scripts/Audio","Assets/_Project/Scripts/Audio/DistortionAudioDirector.cs","235","0"
"8d4df43","8d4df43bba8452aa842cc99d15922e6b8750c4c2","2026-06-13","satyrogle","chore: install corrected MCP+FMOD+Comfy Claude skill pack",".claude",".claude/skills/desk-42/SKILL.md","28","0"
